age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,sex_Male,workclass_Private,marital-status_Non-Married,occupation_Other,relationship_Non-Husband,race_White,native-country_US
2.023874e-05,1.3579867e-05,4.1392454e-05,0.0,0.0,2.881187e-05,2.2309367e-05,4.4700028e-06,-0.018217504,-0.00010444177,2.1546426e-05,0.0,1.0138669e-05
0.0005823476,0.00013242819,0.0007696174,0.0,0.0,0.00065102975,0.0,0.0002601685,-0.3106772,-0.0013930486,0.00045851668,0.00014722667,0.00041053502
0.44567615,0.1174342,0.77747744,0.0,0.0,0.5214172,0.19415426,0.0,0.0,-0.17863512,0.0,0.0884195,0.22966707
2.6871363e-05,1.8758878e-05,6.0143364e-05,0.0,0.0,5.5243912e-05,0.0,1.0318188e-05,-0.031585757,-0.00010471605,3.7644815e-05,9.818756e-06,2.2426466e-05
2.611745e-05,1.681069e-05,4.213657e-05,0.0,0.0,3.8780927e-05,0.0,8.7047265e-06,-0.02227801,-7.4080366e-05,2.6918546e-05,7.113078e-06,1.6675353e-05
0.0006259603,0.00026463,0.0008278489,0.0,0.0,0.00066669023,0.0,0.00043091297,-0.2342662,-0.0018390738,0.00031509227,0.0,0.00034239958
0.07645464,0.033399254,0.09531854,0.0,0.0,0.087146975,0.060719084,0.0,-0.88478774,0.0,0.066049844,0.0156065,0.007920548
0.0026468434,0.0019681836,0.0034903518,0.0,0.0,0.0031776554,0.0022568272,0.00034295418,-0.594857,0.0,0.0023335011,0.0,0.0013154848
2.9893341e-05,3.06304e-05,8.3100094e-05,0.0,0.0,6.9953974e-05,0.0,7.614515e-06,-0.05385549,0.0,5.5135002e-05,5.9985905e-07,2.0904226e-05
1.3482953e-05,4.9099035e-06,7.009929e-05,0.0,0.0,6.4581975e-05,3.9255585e-05,9.391257e-06,-0.03475126,-0.00013191094,4.7496174e-05,3.887697e-06,1.6324804e-05
0.019632656,0.008828353,0.024404682,0.017022844,0.0,0.02080567,0.0,0.014318615,-0.8497024,-0.055161037,0.01234664,0.0,0.014755663
0.00643274,0.003041103,0.007609531,0.0,0.0,0.0068845996,0.0,0.001042,-0.8411501,0.0,0.0050290814,0.0009229295,0.004240913
0.2928899,0.039799035,0.7416765,0.0,0.0,0.55724066,0.14333951,0.024915397,0.0,0.0,0.0,-0.009002209,0.3490209
2.3381078e-06,1.8793589e-06,3.6202778e-06,0.0,0.0,3.637577e-06,1.9791512e-06,-4.8682068e-08,-0.0012107099,-6.836252e-06,2.6466373e-06,8.4424664e-07,0.0
0.00040547526,0.00019341454,0.00050528545,0.0,0.0,0.00046412463,0.0,6.7906716e-05,-0.25632274,0.0,0.00033240416,4.6631845e-05,0.00021218346
0.1936245,0.079661936,0.24540249,0.0,0.0,0.24017034,0.16901341,0.14152813,0.0,-0.15243264,0.0,0.10451852,0.18040806
0.23467317,0.022333682,0.32125708,0.0,0.0,0.30181968,0.104882,0.0043137074,0.0,0.0,0.0,-0.028259367,0.19124903
7.1270144e-05,7.3850664e-05,0.0002382567,0.0,0.0,0.0002168612,0.0001418301,-8.891133e-05,-0.07548578,0.0,0.00016686707,-1.3229001e-06,0.0
0.00051810796,2.6888156e-05,0.00057269406,0.0,0.0,0.000527482,0.00027752985,0.0001257566,-0.21545963,-0.0012111049,0.00037800375,2.7436414e-05,0.000209235
0.0495809,0.023246117,0.0765122,0.0,0.0,0.06979048,0.029141229,-0.00870046,0.0,0.0,0.0,-0.017092593,0.042885274
0.0055754078,0.0036755372,0.0076044835,0.006553077,0.0,0.006968544,0.0,0.0010238956,-0.8279821,0.0,0.0051201712,0.0009602108,0.0040042717
4.207748e-06,1.2670447e-05,3.3667704e-05,0.0,0.0,2.6227017e-05,0.0,0.0,-0.011014468,-6.419713e-05,6.68985e-06,1.2753575e-05,-3.8217004e-06
0.041310653,0.04755014,0.11309221,0.05942682,0.0,0.1055362,0.06661934,0.0,0.0,-0.28375193,0.0,0.03592287,0.040640637
0.000331954,0.000111948175,0.00040309687,0.0,0.0,0.00037132856,0.00021308189,8.8710745e-05,-0.16535734,-0.0008135519,0.00027331553,3.5795412e-05,0.00013160339
0.39260545,0.03654039,0.8504826,0.0,0.0,0.5467862,0.116151094,0.025566459,0.0,0.0,0.0,-0.00035750866,0.33565146
0.18628687,0.048797667,0.21386337,0.0,0.0,0.19398776,0.11485656,0.0,0.0,0.0,0.0,0.034125596,0.054593146
0.022467792,0.009120138,0.023198016,0.0,0.0,0.021636695,0.014343126,0.013731215,0.0,-0.028069511,0.0,0.0066922773,0.017095026
